school,course,price,school_id
springboard,Front-End Web Development,Not found,11035
springboard,Cyber Security Career Track,9900,11035
springboard,Data Analytics Career Track,8500,11035
springboard,Data Science Career Track,9900,11035
springboard,Data Science Career Track Prep,490,11035
springboard,Introduction to Data Analytics,349,11035
springboard,Software Engineering Foundations to Core,9900,11035
springboard,Tech Sales Career Track,5900,11035
springboard,Introduction to Design,349,11035
springboard,Software Engineering Career Track,9900,11035
dataquest,Python for Data Analysis,29,10683
dataquest,R for Data Analysis,29,10683
syntax-technologies,Cyber Security Course,Not found,11797
syntax-technologies,Data Analytics & Business Intelligence Course,Not found,11797
syntax-technologies,SDET Automation Testing Course,Not found,11797
ironhack,Web Development Bootcamp,12000,10828
ironhack,Web Development Part-Time,13000,10828
ironhack,UX/UI Design Bootcamp,12000,10828
ironhack,UX/UI Design Part-Time,13000,10828
ironhack,Cyber Security Bootcamp,7500,10828
ironhack,Cybersecurity Part-Time,7500,10828
ironhack,Data Analytics Bootcamp,7500,10828
ironhack,Data Analytics Part-Time,8000,10828
tripleten,Software Engineering,9700,11225
tripleten,Data Analytics,7900,11225
tripleten,Data Science,9700,11225
tripleten,Quality Assurance Engineering,4900,11225
tripleten,Business Intelligence Analytics,6900,11225
colaberry,Data Analytics,1999,11718
colaberry,Data Science,1500   - 4000,11718
maven-analytics,Data Analyst Bootcamp (Part-Time),7499,11740
udacity,AI Programming with Python,1077,11118
udacity,Al Product Manager,718,11118
udacity,Android Basics,1077,11118
udacity,Android Developer,2154,11118
udacity,Artificial Intelligence,1077,11118
udacity,Artificial Intelligence for Trading,2154,11118
udacity,Blockchain Developer,1436,11118
udacity,Business Analytics,1077,11118
udacity,C++,1436,11118
udacity,Cloud Dev Ops Engineer,1436,11118
brainstation,Artificial Intelligence Course,3250,10571
brainstation,Cybersecurity Bootcamp,16500,10571
brainstation,Cybersecurity Course,3250,10571
brainstation,Data Analytics Course,3250,10571
brainstation,Data Science Bootcamp,16500,10571
brainstation,Data Science Course,3250,10571
brainstation,Design Leadership Course,3950,10571
brainstation,Digital Marketing Course,3250,10571
brainstation,Marketing Leadership Course,3950,10571
brainstation,Product Leadership Course,3950,10571
ccs-learning-academy,Cybersecurity Bootcamp,12995,11736
ccs-learning-academy,Data Analytics & Business Intelligence Bootcamp,7995,11736
ccs-learning-academy,Data Science & Data Engineering Bootcamp,11995,11736
ccs-learning-academy,Full-Stack Developer Bootcamp,8995,11736
thinkful,Data Analytics Flex,8000,11098
thinkful,Data Analytics Immersion,12250,11098
thinkful,Data Science Flex,9500,11098
thinkful,Digital Marketing Flex,4900,11098
thinkful,Engineering Flex Program,9500,11098
thinkful,Engineering Immersion,16000,11098
thinkful,Technical Project Management Flex,6500,11098
thinkful,UX/UI Design Immersion,12150,11098
thinkful,UX/UI Flex,9500,11098
general-assembly,Data Analytics (Short Course),4500,10761
general-assembly,Software Engineering Bootcamp (Full-Time),16450,10761
general-assembly,Digital Marketing (Short Course),4500,10761
general-assembly,JavaScript Development (Short Course),3950,10761
general-assembly,User Experience Design Bootcamp (Full-Time),16450,10761
general-assembly,User Experience Design (Short Course),4500,10761
general-assembly,Front-End Web Development (Short Course),4500,10761
general-assembly,Product Management (Short Course),4500,10761
general-assembly,Visual Design (Short Course),3500,10761
general-assembly,Data Science Bootcamp (Full-Time),16450,10761
